,title,price,area,subway_distance,address,price_per_sqm
0,塘边地铁口大复试押一付一无遮挡可短租地铁直达中山路火车站,1350.0,25.0,距1号线-火炬园383m,塘边社,54.0
1,集美学村精装修内饰风格简约舒心家具配置齐全拎包入住随时看房,1180.0,30.0,距1号线-集美学村1651m,集岑路7-206号自建房,39.333333333333336
2,实图实价，精装大单间，采光通风环境好，楼下就是塘边地铁,900.0,25.0,距1号线-火炬园383m,塘边社,36.0
3,翔鹭花城三期 2室2厅1卫  电梯房 精装修69平米,3000.0,69.76,距1号线-殿前1594m,翔鹭花城三期,43.0045871559633
4,软件园三期精装采光单间 近地铁BRT 可养宠物 拧包入住,880.0,15.0,距1号线-集美大道543m,"崎沟村(田头中,田头西)",58.666666666666664
5,吕厝地铁口冠宏花园旁东方巴黎广场朝南精装修1房一房民水民电,3080.0,50.0,距1号线-吕厝309m,东方巴黎广场,61.6
6,地铁口 真实出租 软三旁  边套大三房 业主急租 看房随时约,3600.0,107.87,距1号线-诚毅广场854m,中交和美新城(公寓住宅),33.37350514508204
7,软件园三期TOD地铁公寓 国企品质 配套齐全民水民电出行方便,1100.0,35.0,距1号线-集美软件园18m,软件园三期TOD地铁公寓,31.428571428571427
8,软三旁 精装复式大阳台 配电动车健身房 可养宠物送免租期,1280.0,45.0,距1号线-集美大道1168m,永祥新城,28.444444444444443
9,殿前村口公交站旁，有电梯 楼下就是公交站 拎包入住 免中间费,900.0,20.0,距1号线-殿前1024m,殿前社自建房,45.0
10,吕厝地铁口 客厅带阳台朝南 两房朝南 随时可以入住 看中可谈,3900.0,93.0,距1号线-吕厝121m,宝龙中心(二期),41.935483870967744
11,塘边社精装修榻榻米带独立大阳台采光通风好方便晾衣服可拎包入住,1300.0,15.0,距1号线-火炬园383m,塘边社,86.66666666666667
12,无中介，精装大单间，采光通风环境好，楼下就是安兜地铁,900.0,25.0,距1号线-火炬园1938m,枋湖工业小区11号楼,36.0
13,建发玺樾业主自住出租家具家电齐全可拎包入住,13000.0,186.08,距1号线-乌石浦1703m,建发玺樾,69.86242476354256
